////////////////////////////////////////////////////////////////////////////////
// Text Ver. 1.0.4.1
// Version 0.96p  - T서버
// Version 0.96p  - M서버
// 최종 작업자 - 정동일
// 최종 작업일 - 오전 9:50 2003-10-10
// 내용: 대천사, 일반아이템 수치 변경
//
////////////////////////////////////////////////////////////////////////////////
//Str, Dex = Str, Dex * 10
//최소데미지 = 케릭터힘/20 + 무기데미지
//최대데미지 = 케릭터힘/10 + 무기데미지
//공격성공율 = (케릭터힘+케릭터민첩성)/2 + 장갑공격성공율
//방어력     = 헬멧방어력 + 아머방어력 + 바지방어력
//방어성공율 = 케릭터민첩성/2 + 방패방어율

//적에게공격데미지       = 나의공격데미지 - 적의방어력																		
//적에게공격성공율       = 나의공격성공율 - 적의방어성공율																		
//적으로부터의방어성공율 = 나의방어성공율 - 적의공격성공율																		
//아이템레벨이 +1 상승할때마다 내구력 +1 상승 아이템레벨 +5이상부터 내구력 +2증가																		
//엑설런트 아이템은 내구력은  +15 증가																		
//아이템레벨 +5부터는 내구력 +2 증가																		
//																		
//Index 	x	y	sirial		drop	Name	level	DamMin	DamMax	Speed	Dur	MagicDur	Str	Agil	흑마법사	흑기사	요정	마검사
// sirial : 일련 번호를 넣을 것인가?																		
// 옵션 : 옵션이 붙을 것인가?																		
// 몹에게서 안떨어지는 아이템인가?																		
0																		
1	1	3	1	1	1	"Short Sword"	3	3	7	20	22	0	60	0	1	1	1	1
0	1	2	1	1	1	"Kris"		6	6	11	50	20	0	40	40	1	1	1	1
2	1	3	1	1	1	"Rapier"	9	9	15	40	23	0	50	40	0	1	1	1
4	1	3	1	1	1	"Scimitar"	12	12	18	30	24	0	60	40	0	1	0	1
3	1	3	1	1	1	"Katache"	16	16	26	35	27	0	80	40	0	1	0	1
6	1	3	1	1	1	"Gladius"	20	20	30	20	30	0	110	0	0	1	1	1
7	1	3	1	1	1	"Falchion"	24	24	34	25	34	0	120	0	0	1	0	1
8	1	3	1	1	1	"Serpent Borg"	30	30	40	20	36	0	130	0	0	1	0	1
5	1	3	1	1	1	"Blade"	36	36	47	30	39	0	80	50	1	1	1	1
13	1	3	1	1	1	"Double Blade"	48	48	56	30	43	0	70	70	0	1	1	1
14	1	3	1	1	1	"Lightning Sword"	59	59	67	30	50	0	90	50	0	1	1	1
16	1	4	1	1	1	"Destruction Sword"	82	82	90	35	84	0	160	60	0	1	0	1
17	2	4	1	1	1	"Spirit Sword"	104	136	162	40	89	0	180	50	0	2	0	0
18	2	3	1	1	1	"Thunder Sword"	105	120	158	40	86	0	180	50	0	0	0	1
19	1	4	1	1	1	"Dragon Sword"	86	120	130	35	84	0	140	50	0	1	0	1

9	2	3	1	1	1	"Salamander"	32	32	46	30	40	0	103	0	0	1	0	1
10	2	4	1	1	1	"Light Saber"	40	47	61	25	50	0	80	60	0	1	1	1
11	2	3	1	1	1	"Legendary Sword"	44	56	72	20	54	0	120	0	0	1	0	1
15	2	3	1	1	1	"Giant Sword"	52	60	85	20	60	0	140	0	0	1	0	1
12	2	3	1	1	1	"Helical Sword"	56	73	98	25	66	0	140	0	0	1	0	1
end																		

1																		
0	1	3	1	1	1	"Small Axe"	1	1	6	20	18	0	50	0	1	1	1	1
1	1	3	1	1	1	"Hand Axe"	4	4	9	30	20	0	70	0	1	1	1	1
2	1	3	1	1	1	"Double Axe"	14	14	24	20	26	0	90	0	0	1	0	1
3	1	3	1	1	1	"Tomahawk"	18	18	28	30	28	0	100	0	0	1	0	1
4	1	3	1	1	1	"Fairy Axe"	26	26	38	40	32	0	50	70	1	0	1	1

5	2	3	1	1	1	"Battle Axe"	30	36	44	20	36	0	120	0	0	1	1	1
6	2	3	1	1	1	"Nikkea Axe"	34	38	50	30	44	0	130	0	0	1	1	1
7	2	3	1	1	1	"Larkan Axe"	46	54	67	25	55	0	140	0	0	1	0	1
8	2	3	1	1	1	"Crescent Axe"	54	69	89	30	65	0	100	40	1	1	0	1
end																		

2																		
0	1	3	1	1	1	"Mace"	7	7	13	15	21	0	100	0	0	1	0	1
1	1	3	1	1	1	"Morning Star"	13	13	22	15	25	0	100	0	0	1	0	1
2	1	3	1	1	1	"Iron Hammer"	22	22	32	15	32	0	80	50	0	1	0	1

3	2	3	1	1	1	"Great Hammer"	38	45	56	15	50	0	150	0	0	1	0	1
4	2	3	1	1	1	"Crystal Mace"	66	78	107	30	72	0	130	0	1	1	1	1
